Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.687792E-01,9.182690E+03,9.687771E-02,0.000000E+00,0.000000E+00,9.687771E-02,1.721217E+03,9.687771E-02,9.266594E+02,3.134581E+03,3.545285E-01,9.840298E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.304794E+03,7.343958E-02,7.024678E+02,2.376215E+03,2.234049E-01,6.087544E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.740206E+02,4.356530E-02,4.167130E+02,1.409602E+03,3.401406E-01,9.565521E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.304794E+03,7.343958E-02,7.024678E+02,2.376215E+03,2.231856E-01,6.083356E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.740206E+02,4.356530E-02,4.167130E+02,1.409602E+03
00:20:00,2.687810E-01,9.182724E+03,9.687771E-02,0.000000E+00,0.000000E+00,9.687771E-02,1.731633E+03,9.687771E-02,9.162431E+02,3.095226E+03,3.545299E-01,9.840325E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.312690E+03,7.343958E-02,6.945716E+02,2.346382E+03,2.234058E-01,6.087561E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.787047E+02,4.356530E-02,4.120288E+02,1.391904E+03,3.401420E-01,9.565548E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.312690E+03,7.343958E-02,6.945716E+02,2.346382E+03,2.231865E-01,6.083374E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.787047E+02,4.455256E-02,4.258144E+02,1.413562E+03
00:30:00,2.687827E-01,9.182756E+03,9.687771E-02,0.000000E+00,0.000000E+00,9.687771E-02,1.742050E+03,9.687771E-02,9.058268E+02,3.056048E+03,3.545312E-01,9.840350E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.320586E+03,7.343958E-02,6.866754E+02,2.316683E+03,2.234066E-01,6.087577E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.833888E+02,4.356530E-02,4.073447E+02,1.374286E+03,3.401434E-01,9.565574E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.320586E+03,7.343958E-02,6.866754E+02,2.316683E+03,2.231874E-01,6.083390E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.833888E+02,4.545593E-02,4.337442E+02,1.415694E+03
00:40:00,2.687843E-01,9.182788E+03,9.687771E-02,0.000000E+00,0.000000E+00,9.687771E-02,1.752466E+03,9.687771E-02,8.954106E+02,3.017047E+03,3.545325E-01,9.840375E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.328483E+03,7.343958E-02,6.787792E+02,2.287117E+03,2.234075E-01,6.087593E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.880730E+02,4.356530E-02,4.026605E+02,1.356747E+03,3.401447E-01,9.565599E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.328483E+03,7.343958E-02,6.787792E+02,2.287117E+03,2.231882E-01,6.083406E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.880730E+02,4.618872E-02,4.392921E+02,1.414066E+03
00:50:00,2.687859E-01,9.182819E+03,9.687771E-02,0.000000E+00,0.000000E+00,9.687771E-02,1.762882E+03,9.687771E-02,8.849943E+02,2.978221E+03,3.545338E-01,9.840399E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.336379E+03,7.343958E-02,6.708830E+02,2.257684E+03,2.234083E-01,6.087609E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.927571E+02,4.356530E-02,3.979764E+02,1.339287E+03,3.401459E-01,9.565623E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.336379E+03,7.343958E-02,6.708830E+02,2.257684E+03,2.231891E-01,6.083422E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.927571E+02,4.677327E-02,4.427699E+02,1.409166E+03
01:00:00,2.687875E-01,9.182848E+03,9.687771E-02,0.000000E+00,0.000000E+00,9.687771E-02,1.773298E+03,9.687771E-02,8.745780E+02,2.939568E+03,3.545350E-01,9.840422E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.344275E+03,7.343958E-02,6.629868E+02,2.228383E+03,2.234091E-01,6.087623E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.974412E+02,4.356530E-02,3.932923E+02,1.321906E+03,3.401472E-01,9.565646E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.344275E+03,7.343958E-02,6.629868E+02,2.228383E+03,2.231899E-01,6.083437E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,7.974412E+02,4.722923E-02,4.444523E+02,1.401440E+03
01:10:00,2.687890E-01,9.182877E+03,9.687771E-02,0.000000E+00,0.000000E+00,9.687771E-02,1.780243E+03,9.687771E-02,8.676338E+02,2.913897E+03,3.545361E-01,9.840443E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.349539E+03,7.343958E-02,6.577226E+02,2.208922E+03,2.234097E-01,6.087637E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,8.005640E+02,4.356530E-02,3.901695E+02,1.310361E+03,3.401482E-01,9.565667E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.349539E+03,7.343958E-02,6.577226E+02,2.208922E+03,2.231905E-01,6.083450E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,8.005640E+02,4.769835E-02,4.478800E+02,1.399739E+03
01:20:00,2.687904E-01,9.182904E+03,9.687771E-02,0.000000E+00,0.000000E+00,9.687771E-02,1.787187E+03,9.687771E-02,8.606896E+02,2.888302E+03,3.545371E-01,9.840463E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.354803E+03,7.343958E-02,6.524585E+02,2.189520E+03,2.234104E-01,6.087649E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,8.036868E+02,4.356530E-02,3.870468E+02,1.298851E+03,3.401493E-01,9.565686E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.354803E+03,7.343958E-02,6.524585E+02,2.189520E+03,2.231912E-01,6.083463E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,8.036868E+02,4.808398E-02,4.501418E+02,1.396191E+03
01:30:00,2.687918E-01,9.182931E+03,9.687771E-02,0.000000E+00,0.000000E+00,9.687771E-02,1.794131E+03,9.687771E-02,8.537454E+02,2.862783E+03,3.545381E-01,9.840482E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.360067E+03,7.343958E-02,6.471943E+02,2.170175E+03,2.234111E-01,6.087662E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,8.068095E+02,4.356530E-02,3.839240E+02,1.287376E+03,3.401503E-01,9.565705E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.360067E+03,7.343958E-02,6.471943E+02,2.170175E+03,2.231918E-01,6.083475E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,8.068095E+02,4.839814E-02,4.514058E+02,1.391079E+03
01:40:00,2.687932E-01,9.182957E+03,9.687771E-02,0.000000E+00,0.000000E+00,9.687771E-02,1.801075E+03,9.687771E-02,8.468013E+02,2.837340E+03,3.545391E-01,9.840500E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.365332E+03,7.343958E-02,6.419302E+02,2.150888E+03,2.234117E-01,6.087673E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,8.099323E+02,4.356530E-02,3.808012E+02,1.275934E+03,3.401512E-01,9.565724E+03,7.343958E-02,0.000000E+00,0.000000E+00,7.343958E-02,1.365332E+03,7.343958E-02,6.419302E+02,2.150888E+03,2.231925E-01,6.083487E+03,4.356530E-02,0.000000E+00,0.000000E+00,4.356530E-02,8.099323E+02,4.865184E-02,4.518256E+02,1.384661E+03
